City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Anadyr,RU,40,1554149563,92,64.73,177.51,30.0,26.84
Jumla,NP,0,1554149875,95,29.28,82.18,22.75,1.7
Ushuaia,AR,75,1554145200,87,-54.81,-68.31,53.6,5.28
Faanui,PF,68,1554149409,100,-16.48,-151.75,82.78,6.33
Cape Town,ZA,0,1554148991,62,-33.93,18.42,60.01,17.22
Bandar,ID,92,1554149876,98,-4.2,104.14,71.53,3.76
Castro,CL,90,1554145200,93,-42.48,-73.76,53.6,18.34
Sitka,US,0,1554148023,48,37.17,-99.65,55.0,3.0
Nanortalik,GL,92,1554149341,100,60.14,-45.24,27.61,23.4
San Vicente,SV,20,1554149414,55,13.64,-88.78,93.2,9.17
Am Timan,TD,0,1554149876,20,11.04,20.28,81.88,9.57
Punta Arenas,CL,90,1554148963,93,-53.16,-70.91,55.4,5.82
Cherskiy,RU,80,1554149366,72,68.75,161.3,22.03,6.4
Faranah,GN,48,1554149731,62,10.04,-10.74,80.53,10.25
Saskylakh,RU,0,1554149363,59,71.97,114.09,7.81,5.88
Arraial do Cabo,BR,0,1554145200,61,-22.97,-42.02,80.6,3.36
Qaanaaq,GL,8,1554149326,86,77.48,-69.36,1.96,7.78
Rikitea,PF,0,1554149317,100,-23.12,-134.97,76.48,15.39
Georgetown,GY,40,1554145200,52,6.8,-58.16,89.6,8.63
Saint-Georges,CA,76,1554148913,59,46.12,-70.67,28.0,8.99
Meulaboh,ID,92,1554149228,100,4.14,96.13,77.38,4.32
Alekseyevsk,RU,64,1554149878,95,57.84,108.35,35.26,9.8
Bonfim,BR,75,1554149371,57,-20.33,-44.24,80.6,5.82
Mataura,NZ,92,1554148809,85,-46.19,168.86,48.99,9.64
Busselton,AU,24,1554149142,64,-33.64,115.35,63.0,8.01
Hobart,AU,20,1554149174,87,-42.88,147.33,45.0,11.41
Baykit,RU,88,1554149393,82,61.68,96.39,27.25,9.01
Coihaique,CL,75,1554145200,82,-45.58,-72.07,55.4,17.22
Kapaa,US,1,1554149002,64,22.08,-159.32,77.0,6.22
Esso,RU,64,1554149879,99,55.93,158.7,18.97,2.53
Nyimba,ZM,0,1554149879,44,-14.56,30.81,73.51,5.39
Polyarnyy,RU,0,1554147000,50,69.2,33.45,30.2,4.47
Campos Belos,BR,12,1554149880,61,-13.04,-46.77,84.22,2.86
Bambous Virieux,MU,20,1554149041,83,-20.34,57.76,75.2,3.36
Avarua,CK,76,1554147000,74,-21.21,-159.78,80.6,10.29
Luderitz,NA,0,1554149375,71,-26.65,15.16,61.63,20.38
Bredasdorp,ZA,80,1554149323,95,-34.53,20.04,62.44,9.01
Saint George,GR,0,1554148200,62,39.45,22.34,51.8,6.93
Namibe,AO,8,1554149394,94,-15.19,12.15,80.98,14.94
Kharp,RU,0,1554149880,63,66.82,65.8,11.05,7.34
Port Elizabeth,US,1,1554149282,26,39.31,-74.98,54.0,10.29
Koslan,RU,32,1554149881,69,63.46,48.9,25.18,8.41
Beaverlodge,CA,75,1554145200,56,55.21,-119.43,44.6,10.29
Ponta Delgada,PT,75,1554149416,67,37.73,-25.67,57.2,23.04
Pilar,AR,0,1554149744,78,-34.46,-58.91,84.0,8.05
Nhulunbuy,AU,90,1554147000,100,-12.18,136.78,77.0,4.7
Hermanus,ZA,12,1554148863,62,-34.42,19.24,57.0,11.01
Mount Gambier,AU,44,1554145200,93,-37.83,140.78,42.8,6.93
Port Macquarie,AU,75,1554149705,100,-31.43,152.91,63.0,5.82
Ust-Nera,RU,8,1554149618,76,64.57,143.24,-9.84,2.37
Khatanga,RU,80,1554149334,92,71.98,102.47,28.69,11.88
New Norfolk,AU,20,1554149295,87,-42.78,147.06,44.6,11.41
Ponta do Sol,BR,76,1554149374,58,-20.63,-46.0,77.47,1.07
Harper,US,1,1554149427,35,30.3,-99.24,63.0,3.36
Ancud,CL,90,1554145200,93,-41.87,-73.83,53.6,18.34
Norman Wells,CA,75,1554145200,73,65.28,-126.83,26.6,12.75
Outram,NZ,0,1554149872,64,-45.86,170.23,50.0,15.99
Torbay,CA,75,1554148915,72,47.66,-52.73,59.0,28.86
Kaeo,NZ,20,1554149285,96,-35.1,173.78,62.01,5.01
Vaini,IN,0,1554149318,91,15.34,74.49,66.49,1.07
Butaritari,KI,56,1554149308,100,3.07,172.79,83.5,11.25
La Ronge,CA,90,1554146040,56,55.1,-105.3,32.0,13.87
Port-Cartier,CA,90,1554149858,58,50.03,-66.88,30.99,17.22
Thompson,CA,75,1554148380,55,55.74,-97.86,33.8,13.87
Sinnamary,GF,88,1554149434,94,5.38,-52.96,80.26,9.31
Lavagna,IT,0,1554149834,72,44.31,9.34,60.8,3.36
Sandnessjoen,NO,75,1554149414,93,66.02,12.63,41.0,5.82
Bluff,AU,0,1554149342,79,-23.58,149.07,62.62,9.64
Clyde River,CA,75,1554145200,84,70.47,-68.59,-0.41,5.82
San Juan Tepa,MX,0,1554149886,32,20.22,-99.07,78.01,3.6
Mbini,GQ,40,1554145200,83,1.58,9.62,84.2,8.05
Jamestown,AU,0,1554149315,83,-33.21,138.6,42.1,4.61
Zhuanghe,CN,76,1554149886,98,39.7,122.97,35.89,3.53
Adrar,DZ,0,1554148800,22,27.87,-0.29,75.2,8.05
Port-Gentil,GA,20,1554145200,83,-0.72,8.78,84.2,11.41
Carballo,ES,0,1554149877,87,43.21,-8.69,57.0,4.7
Rawson,AR,76,1554149326,28,-43.3,-65.11,82.69,6.33
Carnarvon,ZA,0,1554149344,35,-30.97,22.13,48.94,12.37
Barrow,AR,20,1554149331,35,-38.31,-60.23,83.23,11.32
Half Moon Bay,US,90,1554149323,72,37.46,-122.43,66.99,11.41
Tuktoyaktuk,CA,20,1554145200,77,69.44,-133.03,6.8,11.41
Hithadhoo,MV,92,1554149049,100,-0.6,73.08,83.23,6.85
Puerto Ayora,EC,20,1554148906,70,-0.74,-90.35,86.0,14.99
Viseu,PT,20,1554149416,82,40.66,-7.91,59.0,3.36
Upernavik,GL,56,1554149329,100,72.79,-56.15,17.44,7.0
Ixtapa,MX,5,1554149109,65,20.71,-105.21,80.01,8.05
El Dorado,VE,0,1554149888,33,6.71,-61.64,93.49,4.38
Waddan,LY,0,1554149889,29,29.16,16.14,70.99,11.54
Victoria,BN,75,1554147000,88,5.28,115.24,77.0,1.12
Cayenne,GF,56,1554147000,62,4.94,-52.33,86.0,13.87
Lincoln,US,1,1554149842,23,40.8,-96.67,62.01,16.11
Vanimo,PG,80,1554149058,97,-2.67,141.3,83.86,16.35
Lulea,SE,0,1554146400,69,65.58,22.15,39.2,6.93
Sovetskiy,RU,0,1554149890,73,56.76,48.47,19.96,3.27
Upata,VE,0,1554147090,42,8.02,-62.41,93.0,5.99
Ilulissat,GL,20,1554144600,52,69.22,-51.1,17.6,25.28
