ROUTE,DAY,DELAY
BWI-ALB (Baltimore/Washington International Thurgood Marshall  to Albany International ),FRI,2638
BWI-ABQ (Baltimore/Washington International Thurgood Marshall  to Albuquerque International Sunport),FRI,791
BWI-AUS (Baltimore/Washington International Thurgood Marshall  to Austin Bergstrom International ),FRI,877
BWI-LIT (Baltimore/Washington International Thurgood Marshall  to Bill & Hillary Clinton National /Adams Field),FRI,985
BWI-BHM (Baltimore/Washington International Thurgood Marshall  to Birmingham-Shuttlesworth International ),FRI,1018
BWI-FNT (Baltimore/Washington International Thurgood Marshall  to Bishop International ),FRI,709
BWI-BDL (Baltimore/Washington International Thurgood Marshall  to Bradley International ),FRI,4291
BWI-BUF (Baltimore/Washington International Thurgood Marshall  to Buffalo Niagara International ),FRI,3848
BWI-CHS (Baltimore/Washington International Thurgood Marshall  to Charleston Air Force Base-International ),FRI,1569
BWI-CLT (Baltimore/Washington International Thurgood Marshall  to Charlotte Douglas International ),FRI,5304
BWI-MDW (Baltimore/Washington International Thurgood Marshall  to Chicago Midway International ),FRI,2692
BWI-ORD (Baltimore/Washington International Thurgood Marshall  to Chicago OHare International ),FRI,5487
BWI-CVG (Baltimore/Washington International Thurgood Marshall  to Cincinnati Northern Kentucky International ),FRI,0
BWI-CLE (Baltimore/Washington International Thurgood Marshall  to Cleveland Hopkins International ),FRI,2170
BWI-DFW (Baltimore/Washington International Thurgood Marshall  to Dallas Fort Worth International ),FRI,3847
BWI-DAL (Baltimore/Washington International Thurgood Marshall  to Dallas Love Field),FRI,2951
BWI-DEN (Baltimore/Washington International Thurgood Marshall  to Denver International ),FRI,3110
BWI-DTW (Baltimore/Washington International Thurgood Marshall  to Detroit Metropolitan Wayne County ),FRI,3735
BWI-FLL (Baltimore/Washington International Thurgood Marshall  to Fort Lauderdale Hollywood International ),FRI,8484
BWI-BOS (Baltimore/Washington International Thurgood Marshall  to General Edward Lawrence Logan International ),FRI,7707
BWI-MKE (Baltimore/Washington International Thurgood Marshall  to General Mitchell International ),FRI,1594
BWI-IAH (Baltimore/Washington International Thurgood Marshall  to George Bush Intercontinental Houston ),FRI,3089
BWI-GRR (Baltimore/Washington International Thurgood Marshall  to Gerald R. Ford International ),FRI,1438
BWI-ROC (Baltimore/Washington International Thurgood Marshall  to Greater Rochester International ),FRI,1290
BWI-GSP (Baltimore/Washington International Thurgood Marshall  to Greenville Spartanburg International ),FRI,660
BWI-ATL (Baltimore/Washington International Thurgood Marshall  to Hartsfield Jackson Atlanta International ),FRI,11661
BWI-IND (Baltimore/Washington International Thurgood Marshall  to Indianapolis International ),FRI,2348
BWI-JAX (Baltimore/Washington International Thurgood Marshall  to Jacksonville International ),FRI,2251
BWI-DAY (Baltimore/Washington International Thurgood Marshall  to James M Cox Dayton International ),FRI,1058
BWI-JFK (Baltimore/Washington International Thurgood Marshall  to John F Kennedy International ),FRI,833
BWI-CMH (Baltimore/Washington International Thurgood Marshall  to John Glenn Columbus International ),FRI,1943
BWI-MCI (Baltimore/Washington International Thurgood Marshall  to Kansas City International ),FRI,1032
BWI-ISP (Baltimore/Washington International Thurgood Marshall  to Long Island Mac Arthur ),FRI,2418
BWI-LAX (Baltimore/Washington International Thurgood Marshall  to Los Angeles International ),FRI,2286
BWI-MSY (Baltimore/Washington International Thurgood Marshall  to Louis Armstrong New Orleans International ),FRI,1094
BWI-SDF (Baltimore/Washington International Thurgood Marshall  to Louisville International Standiford Field),FRI,1875
BWI-MHT (Baltimore/Washington International Thurgood Marshall  to Manchester-Boston Regional ),FRI,2281
BWI-LAS (Baltimore/Washington International Thurgood Marshall  to McCarran International ),FRI,3182
BWI-MEM (Baltimore/Washington International Thurgood Marshall  to Memphis International ),FRI,700
BWI-OAK (Baltimore/Washington International Thurgood Marshall  to Metropolitan Oakland International ),FRI,580
BWI-MIA (Baltimore/Washington International Thurgood Marshall  to Miami International ),FRI,1636
BWI-MSP (Baltimore/Washington International Thurgood Marshall  to Minneapolis-St Paul International/Wold-Chamberlain ),FRI,1921
BWI-MYR (Baltimore/Washington International Thurgood Marshall  to Myrtle Beach International ),FRI,219
BWI-BNA (Baltimore/Washington International Thurgood Marshall  to Nashville International ),FRI,3825
BWI-EWR (Baltimore/Washington International Thurgood Marshall  to Newark Liberty International ),FRI,1216
BWI-ORF (Baltimore/Washington International Thurgood Marshall  to Norfolk International ),FRI,2175
BWI-ECP (Baltimore/Washington International Thurgood Marshall  to Northwest Florida Beaches International ),FRI,709
BWI-MCO (Baltimore/Washington International Thurgood Marshall  to Orlando International ),FRI,6041
BWI-PBI (Baltimore/Washington International Thurgood Marshall  to Palm Beach International ),FRI,2300
BWI-PHX (Baltimore/Washington International Thurgood Marshall  to Phoenix Sky Harbor International ),FRI,2640
BWI-PIT (Baltimore/Washington International Thurgood Marshall  to Pittsburgh International ),FRI,1655
BWI-PDX (Baltimore/Washington International Thurgood Marshall  to Portland International ),FRI,114
BWI-PWM (Baltimore/Washington International Thurgood Marshall  to Portland International Jetport ),FRI,1805
BWI-RDU (Baltimore/Washington International Thurgood Marshall  to Raleigh Durham International ),FRI,4567
BWI-SLC (Baltimore/Washington International Thurgood Marshall  to Salt Lake City International ),FRI,499
BWI-SAT (Baltimore/Washington International Thurgood Marshall  to San Antonio International ),FRI,1040
BWI-SAN (Baltimore/Washington International Thurgood Marshall  to San Diego International ),FRI,1239
BWI-SFO (Baltimore/Washington International Thurgood Marshall  to San Francisco International ),FRI,430
BWI-SEA (Baltimore/Washington International Thurgood Marshall  to Seattle Tacoma International ),FRI,617
BWI-RSW (Baltimore/Washington International Thurgood Marshall  to Southwest Florida International ),FRI,2452
BWI-STL (Baltimore/Washington International Thurgood Marshall  to St Louis Lambert International ),FRI,1605
BWI-TPA (Baltimore/Washington International Thurgood Marshall  to Tampa International ),FRI,4234
BWI-PVD (Baltimore/Washington International Thurgood Marshall  to Theodore Francis Green State ),FRI,3996
BWI-OKC (Baltimore/Washington International Thurgood Marshall  to Will Rogers World ),FRI,683
BWI-HOU (Baltimore/Washington International Thurgood Marshall  to William P Hobby ),FRI,1368
CLT-ALB (Charlotte Douglas International  to Albany International ),FRI,394
CLT-ABQ (Charlotte Douglas International  to Albuquerque International Sunport),FRI,131
CLT-AUS (Charlotte Douglas International  to Austin Bergstrom International ),FRI,438
CLT-BWI (Charlotte Douglas International  to Baltimore/Washington International Thurgood Marshall ),FRI,5314
CLT-BDL (Charlotte Douglas International  to Bradley International ),FRI,1504
CLT-BUF (Charlotte Douglas International  to Buffalo Niagara International ),FRI,1157
CLT-CHS (Charlotte Douglas International  to Charleston Air Force Base-International ),FRI,372
CLT-MDW (Charlotte Douglas International  to Chicago Midway International ),FRI,531
CLT-ORD (Charlotte Douglas International  to Chicago OHare International ),FRI,7583
CLT-CVG (Charlotte Douglas International  to Cincinnati Northern Kentucky International ),FRI,321
CLT-CLE (Charlotte Douglas International  to Cleveland Hopkins International ),FRI,838
CLT-DFW (Charlotte Douglas International  to Dallas Fort Worth International ),FRI,5813
CLT-DAL (Charlotte Douglas International  to Dallas Love Field),FRI,436
CLT-DEN (Charlotte Douglas International  to Denver International ),FRI,3116
CLT-DTW (Charlotte Douglas International  to Detroit Metropolitan Wayne County ),FRI,2613
CLT-FLL (Charlotte Douglas International  to Fort Lauderdale Hollywood International ),FRI,3109
CLT-BOS (Charlotte Douglas International  to General Edward Lawrence Logan International ),FRI,4838
