ROUTE,DAY,DELAY
BWI-ALB,FRI,2638
BWI-ABQ,FRI,791
BWI-AUS,FRI,877
BWI-LIT,FRI,985
BWI-BHM,FRI,1018
BWI-FNT,FRI,709
BWI-BDL,FRI,4291
BWI-BUF,FRI,3848
BWI-CHS,FRI,1569
BWI-CLT,FRI,5304
BWI-MDW,FRI,2692
BWI-ORD,FRI,5487
BWI-CVG,FRI,0
BWI-CLE,FRI,2170
BWI-DFW,FRI,3847
BWI-DAL,FRI,2951
BWI-DEN,FRI,3110
BWI-DTW,FRI,3735
BWI-FLL,FRI,8484
BWI-BOS,FRI,7707
BWI-MKE,FRI,1594
BWI-IAH,FRI,3089
BWI-GRR,FRI,1438
BWI-ROC,FRI,1290
BWI-GSP,FRI,660
BWI-ATL,FRI,11661
BWI-IND,FRI,2348
BWI-JAX,FRI,2251
BWI-DAY,FRI,1058
BWI-JFK,FRI,833
BWI-CMH,FRI,1943
BWI-MCI,FRI,1032
BWI-ISP,FRI,2418
BWI-LAX,FRI,2286
BWI-MSY,FRI,1094
BWI-SDF,FRI,1875
BWI-MHT,FRI,2281
BWI-LAS,FRI,3182
BWI-MEM,FRI,700
BWI-OAK,FRI,580
BWI-MIA,FRI,1636
BWI-MSP,FRI,1921
BWI-MYR,FRI,219
BWI-BNA,FRI,3825
BWI-EWR,FRI,1216
BWI-ORF,FRI,2175
BWI-ECP,FRI,709
BWI-MCO,FRI,6041
BWI-PBI,FRI,2300
BWI-PHX,FRI,2640
BWI-PIT,FRI,1655
BWI-PDX,FRI,114
BWI-PWM,FRI,1805
BWI-RDU,FRI,4567
BWI-SLC,FRI,499
BWI-SAT,FRI,1040
BWI-SAN,FRI,1239
BWI-SFO,FRI,430
BWI-SEA,FRI,617
BWI-RSW,FRI,2452
BWI-STL,FRI,1605
BWI-TPA,FRI,4234
BWI-PVD,FRI,3996
BWI-OKC,FRI,683
BWI-HOU,FRI,1368
CLT-ALB,FRI,394
CLT-ABQ,FRI,131
CLT-AUS,FRI,438
CLT-BWI,FRI,5314
CLT-BDL,FRI,1504
